State,Country
Amsterdam,Netherlands
Ankara,Turkey
Athens,Greece
Belgrade,Serbia
Berlin,Germany
Bratislava,Slovakia
Brussels,Belgium
Bucharest,Romania
Budapest,Hungary
Copenhagen ,Denmark
Dublin,Ireland
Dusseldorf,Germany
Geneva,Switzerland
Hamburg,Germany
Helsinki,Finland
Istanbul ,Turkey
Kiev,Ukraine
Lisbon,Portugal
Ljubljana,Slovenia
London,England
Madrid,Spain
Milan,Italy
Minsk,Belarus
Moscow,Russian Federation
Munich,Germany
Nicosia,Cyprus
Oslo,Norway
Paris,France
Prague,Czech Republic
Pristina,Kosovo
Rome,Italy
Sarajevo,Bosnia & Herzegovina
Sofia,Bulgaria
St. Petersburg,Russian Federation
Stockholm ,Sweden
Stuttgart,Germany
Tbilisi,Georgia
Vienna,Austria 
Warsaw,Poland 
Yekaterinburg,Russian Federation
Zagreb,Croatia 
Zurich,Switzerland
Abidjan,Cote d'lvoire
Abuja,Nigeria
Algiers,Algeria
Cairo,Egypt
Cape Town,South Africa
Dakar,Senegal
Harare,Zimbabwe
Johannesburg,South Africa
Khartoum,Sudan
Lagos,Nigeria
Luanda,Angola
Nairobi,Kenya
Tunis,Tunisia 
Almaty,Kazakhstan
Amman,Jordan
Baghdad,Iraq
Baku,Azerbaijan
Beirut,Lebanon
Doha,Qatar
Dubai,United Arab Emirates
Gaza,Palestinian Territories
Jerusalem,Israel
Rabat,Morocco
Riyadh,Saudi Arabia
Safat,Kuwait
Tel Aviv,Israel
Bangalore,India
Bankok,Thailand
Beijing,China
Colombo,Sri Lanka
Dhaka,Bangladesh
Hanoi,Vietnam
Hong Kong SAR,China
Islamabad,Pakistan
Jakarta,Indonesia
Kabul,Afghanistan
Karachi,Pakistan
Kuala Lumpur,Malaysia
Manila,Philippines
Mumbai,India
New Delhi,India
Phnom Penh,Cambodia
Seoul,South Korea
Shanghai,China
Singapore,Singapore
Taipei,Taiwan
Tokyo,Japan
Yangon ,Myanmar
Canberra,Australia
Melbourne,Australia
Sydney,Australia
Wellington,New Zealand
Havana,Cuba
Mexico City,Mexico
Bogota,Colombia
Brasilia,Brazil
Buenos Aires,Argentina
Caracas,Venezuela
Lima,Peru
Quito,Ecuador
Rio de Janeiro,Brazil
Santiago ,Chile
Sao Paulo,Brazil
Austin,USA
Boston,USA
Calgary,Canada
Charlotte,USA
Chicago ,USA
Detroit,USA 
Houston,USA
Kansas City,USA
Los Angeles,USA
Miami,USA
New York,USA
Ottawa ,Canada
San Francisco,USA
Scottsdale,USA
Seattle,USA
Toronto,Canada
United Nations,USA
Washington DC,USA
Winnipeg,Canada
Winston-Salem,USA